Symbol,Last,Net Chng,Bid,Ask
AAPL,196.58,+.94,196.04,196.10
AMD,126.79,-.31,126.37,126.51
AMZN,212.52,-2.30,212.52,212.83
AVGO,251.26,+1.89,251.11,251.25
BZUN,2.73,-.10,2.73,3.07
C,78.35,+.99,78.25,78.45
CRWV,170.00,-1.93,169.50,169.70
CSCO,65.84,+.51,65.80,65.89
F,10.43,+.01,10.41,10.44
GM,48.09,-.19,47.72,48.45
LYFT,,,,
MSFT,480.24,+2.20,480.69,480.87
MU,121.82,+1.48,121.68,121.78
NFLX,1222.29,+1.62,1220.50,1221.50
NTDOY,22.89,+1.32,22.71,23.11
NVAX,6.30,-.19,6.27,6.34
NVDA,145.48,+1.36,145.07,145.08
OMDA,15.49,+.33,15.21,15.41
PYPL,68.57,-2.10,68.55,68.60
QCOM,153.63,-.83,153.41,153.58
RBLX,102.65,+1.53,102.65,102.80
RDDT,141.16,+7.32,141.00,141.50
RIVN,13.77,+.38,13.77,13.78
RXRX,5.11,+.27,5.06,5.07
SMCI,44.47,+1.36,44.40,44.44
SOFI,15.36,+.93,15.37,15.38
TSLA,322.05,+5.70,322.50,322.62
UBER,,,,
COUR,,,,
LRN,,,,
SBUX,,,,
SNAP,,,,
CBRL,,,,
ORCL,,,,
PLTR,,,,
META,,,,
DELL,,,,
CRCL,,,,
